State,Year,MenHealth_MeanValue
GU,2023.0,16.806451612903224
GU,2024.0,16.5
HI,2018.0,15.036363636363637
HI,2019.0,15.107784431137725
HI,2020.0,15.300653594771243
HI,2021.0,13.202797202797203
HI,2022.0,16.46583850931677
HI,2023.0,16.12269938650307
HI,2024.0,13.23076923076923
IA,2018.0,15.94767441860465
IA,2019.0,16.151041666666668
IA,2020.0,15.86624203821656
IA,2021.0,14.480519480519481
IA,2022.0,15.317829457364342
IA,2023.0,17.84328358208955
ID,2018.0,17.112
ID,2019.0,18.07913669064748
ID,2020.0,15.896907216494846
ID,2021.0,17.16083916083916
ID,2022.0,15.898876404494382
ID,2023.0,19.35483870967742
IL,2018.0,14.655172413793103
IL,2019.0,14.045871559633028
IL,2020.0,13.456140350877194
IL,2021.0,17.666666666666668
IL,2022.0,16.7
IL,2023.0,18.313725490196077
IL,2024.0,11.555555555555555
IN,2018.0,17.560693641618496
IN,2019.0,17.42964824120603
IN,2020.0,16.508695652173913
IN,2021.0,15.314159292035399
IN,2022.0,15.393364928909953
IN,2023.0,17.137795275590552
IN,2024.0,15.8
KS,2018.0,15.955414012738853
KS,2019.0,15.742307692307692
KS,2020.0,14.910780669144982
KS,2021.0,15.738095238095237
KS,2022.0,16.17269076305221
KS,2023.0,15.745454545454546
KS,2024.0,15.5
KY,2018.0,16.861635220125788
KY,2019.0,18.253164556962027
KY,2020.0,19.234848484848484
KY,2021.0,17.96923076923077
KY,2022.0,17.246031746031747
LA,2018.0,16.16521739130435
LA,2019.0,16.543307086614174
LA,2020.0,15.097087378640778
LA,2021.0,16.310344827586206
LA,2022.0,17.641379310344828
LA,2023.0,16.557692307692307
MA,2018.0,14.752032520325203
MA,2019.0,15.30593607305936
MA,2020.0,14.01123595505618
MA,2021.0,15.278260869565218
MA,2022.0,14.046242774566474
MA,2023.0,15.74561403508772
MD,2018.0,15.628409090909091
MD,2019.0,14.645405405405405
MD,2020.0,15.228501228501228
MD,2021.0,15.663291139240506
MD,2022.0,15.167173252279635
MD,2023.0,15.405679513184584
MD,2024.0,10.75
ME,2018.0,16.955128205128204
ME,2019.0,17.385220125786162
ME,2020.0,15.151950718685832
ME,2021.0,16.648910411622275
ME,2022.0,15.964622641509434
ME,2023.0,16.978174603174605
MI,2018.0,17.00877192982456
MI,2019.0,15.162576687116564
MI,2020.0,15.569288389513108
MI,2021.0,14.826568265682656
MI,2022.0,15.347169811320756
MI,2023.0,16.438127090301002
MI,2024.0,12.625
MN,2018.0,15.138328530259367
MN,2019.0,14.510460251046025
MN,2020.0,14.053811659192824
MN,2021.0,14.951923076923077
MN,2022.0,14.702325581395348
MN,2023.0,16.53846153846154
MO,2018.0,17.47252747252747
MO,2019.0,17.57638888888889
MO,2020.0,17.643171806167402
MO,2021.0,17.713815789473685
MO,2022.0,17.413265306122447
MO,2023.0,16.890625
MO,2024.0,5.0
MS,2018.0,17.89637305699482
MS,2019.0,19.341772151898734
MS,2020.0,16.812080536912752
MS,2021.0,16.88679245283019
MS,2022.0,12.31578947368421
MS,2023.0,17.02777777777778
MS,2024.0,16.75
MT,2018.0,17.091954022988507
MT,2019.0,15.642140468227424
MT,2020.0,15.268292682926829
MT,2021.0,15.709677419354838
MT,2022.0,15.654054054054054
MT,2023.0,16.12676056338028
MT,2024.0,6.4
NC,2018.0,18.253968253968253
NC,2019.0,17.3
NC,2020.0,19.44
NC,2021.0,16.890243902439025
NC,2022.0,14.775
NC,2023.0,16.952380952380953
NC,2024.0,12.5
ND,2018.0,14.59
ND,2019.0,15.31904761904762
ND,2020.0,14.52046783625731
ND,2021.0,15.464088397790055
ND,2022.0,14.806451612903226
ND,2023.0,13.731707317073171
ND,2024.0,5.0
NE,2018.0,16.95767195767196
NE,2019.0,13.93061224489796
NE,2020.0,15.070967741935483
NE,2021.0,16.11295681063123
