time,state_abbr,precip
2019-03-01,OH,3.0580423
2019-03-01,OK,2.223432
2019-03-01,OR,2.2485383
2019-03-01,PA,2.635677
2019-03-01,SC,2.2781448
2019-03-01,SD,1.6840636
2019-03-01,TN,3.1468678
2019-03-01,TX,0.98777163
2019-03-01,UT,1.982297
2019-03-01,VA,2.3662212
2019-03-01,WA,1.4240168
2019-03-01,WI,1.4233896
2019-03-01,WV,2.100861
2019-03-01,WY,1.110547
2019-04-01,AK,0.9883955
2019-04-01,AL,5.3056107
2019-04-01,AR,6.2102914
2019-04-01,AZ,0.36199003
2019-04-01,CA,1.1161973
2019-04-01,CO,1.2502345
2019-04-01,FL,2.161259
2019-04-01,GA,4.084829
2019-04-01,IA,2.9800072
2019-04-01,ID,2.071208
2019-04-01,IL,4.2613993
2019-04-01,IN,4.522375
2019-04-01,KS,1.8636621
2019-04-01,MD,2.9827867
2019-04-01,ME,4.321558
2019-04-01,MI,3.639411
2019-04-01,MN,2.2015104
2019-04-01,MO,4.2803574
2019-04-01,MS,7.163217
2019-04-01,MT,1.55948
2019-04-01,NC,4.1887918
2019-04-01,ND,1.305257
2019-04-01,NE,1.3437278
2019-04-01,NH,4.181367
2019-04-01,NM,0.74589825
2019-04-01,NV,1.1064445
2019-04-01,NY,4.478557
2019-04-01,OH,3.7916422
2019-04-01,OK,4.0046206
2019-04-01,OR,3.5468514
2019-04-01,PA,3.3435636
2019-04-01,SC,3.2523654
2019-04-01,SD,1.8246193
2019-04-01,TN,4.678634
2019-04-01,TX,3.3213766
2019-04-01,UT,1.670872
2019-04-01,VA,3.1831925
2019-04-01,WA,2.2608166
2019-04-01,WI,3.2285087
2019-04-01,WV,3.0927377
2019-04-01,WY,1.5817391
2019-05-01,AK,1.3612709
2019-05-01,AL,2.918678
2019-05-01,AR,7.104738
2019-05-01,AZ,0.80868167
2019-05-01,CA,1.5957631
2019-05-01,CO,1.9112374
2019-05-01,FL,3.1868224
2019-05-01,GA,1.9265449
2019-05-01,IA,7.9450874
2019-05-01,ID,1.9571317
2019-05-01,IL,5.476819
2019-05-01,IN,4.5323696
2019-05-01,KS,7.6764126
2019-05-01,MD,4.4003587
2019-05-01,ME,2.8871567
2019-05-01,MI,3.885701
2019-05-01,MN,3.5619187
2019-05-01,MO,6.8647013
2019-05-01,MS,5.0702944
2019-05-01,MT,2.0177798
2019-05-01,NC,2.6669695
2019-05-01,ND,2.2508826
2019-05-01,NE,4.8814163
2019-05-01,NH,3.2960224
2019-05-01,NM,1.091277
2019-05-01,NV,1.8985004
2019-05-01,NY,4.397853
2019-05-01,OH,3.7852523
2019-05-01,OK,9.543589
2019-05-01,OR,1.7529979
2019-05-01,PA,4.9432454
2019-05-01,SC,1.9331275
2019-05-01,SD,4.8941827
2019-05-01,TN,3.6149569
2019-05-01,TX,5.087295
2019-05-01,UT,2.0854833
2019-05-01,VA,4.501487
2019-05-01,WA,1.551345
2019-05-01,WI,4.3890767
2019-05-01,WV,4.615312
2019-05-01,WY,2.875469
2019-06-01,AK,1.1345452
2019-06-01,AL,4.5305834
2019-06-01,AR,5.4168673
2019-06-01,AZ,0.076333314
2019-06-01,CA,0.09707336
2019-06-01,CO,1.2783246
2019-06-01,FL,6.959115
2019-06-01,GA,5.490341
2019-06-01,IA,4.861341
2019-06-01,ID,0.97853804
2019-06-01,IL,4.37978
2019-06-01,IN,5.1565332
2019-06-01,KS,3.5788832
2019-06-01,MD,4.086576
2019-06-01,ME,3.6437068
2019-06-01,MI,3.0097764
2019-06-01,MN,2.7015214
2019-06-01,MO,5.056522
2019-06-01,MS,3.916888
2019-06-01,MT,1.9547476
2019-06-01,NC,4.662355
2019-06-01,ND,2.4135604
2019-06-01,NE,2.9614682
2019-06-01,NH,4.118242
2019-06-01,NM,0.81071645
2019-06-01,NV,0.30179393
2019-06-01,NY,3.975556
2019-06-01,OH,5.181968
2019-06-01,OK,4.543841
2019-06-01,OR,0.8079459
2019-06-01,PA,4.607095
2019-06-01,SC,5.4548197
2019-06-01,SD,2.1602554
2019-06-01,TN,5.1634107
2019-06-01,TX,3.749228
2019-06-01,UT,0.3724326
2019-06-01,VA,3.1971078
2019-06-01,WA,1.0630654
2019-06-01,WI,4.159136
2019-06-01,WV,3.585185
2019-06-01,WY,1.1370311
2019-07-01,AK,1.7157089
2019-07-01,AL,3.8082614
2019-07-01,AR,3.3316708
2019-07-01,AZ,0.5329937
2019-07-01,CA,0.07829893
2019-07-01,CO,1.1902266
2019-07-01,FL,6.7521753
2019-07-01,GA,4.056047
2019-07-01,IA,2.619292
2019-07-01,ID,0.7500596
2019-07-01,IL,2.880889
2019-07-01,IN,2.942752
2019-07-01,KS,2.4151099
2019-07-01,MD,3.825303
2019-07-01,ME,2.3337536
2019-07-01,MI,2.341348
2019-07-01,MN,3.9227612
2019-07-01,MO,3.3534894
2019-07-01,MS,4.9751296
2019-07-01,MT,1.5329025
2019-07-01,NC,3.9651902
2019-07-01,ND,2.852948
2019-07-01,NE,3.0513914
2019-07-01,NH,2.5942938
2019-07-01,NM,1.2265087
2019-07-01,NV,0.18879807
2019-07-01,NY,3.357045
2019-07-01,OH,3.7610114
2019-07-01,OK,1.8689469
2019-07-01,OR,0.30342627
2019-07-01,PA,3.994193
2019-07-01,SC,3.3591225
2019-07-01,SD,3.9890692
2019-07-01,TN,4.5877647
2019-07-01,TX,1.1211381
2019-07-01,UT,0.4977219
2019-07-01,VA,3.471613
2019-07-01,WA,0.6873208
2019-07-01,WI,4.0851607
2019-07-01,WV,3.3815615
2019-07-01,WY,0.89533585
2019-08-01,AK,2.0976727
2019-08-01,AL,4.0170426
2019-08-01,AR,3.7763355
2019-08-01,AZ,0.36094436
2019-08-01,CA,0.17341027
2019-08-01,CO,0.8726983
